,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
0,12:00 AM,32ʡF,16ʡF,51ʡ%,NW,2ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161102
1,1:00 AM,30ʡF,14ʡF,51ʡ%,NW,3ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161102
2,2:00 AM,28ʡF,18ʡF,64ʡ%,WNW,1ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161102
3,3:00 AM,28ʡF,19ʡF,69ʡ%,CALM,0ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161102
4,4:00 AM,27ʡF,18ʡF,69ʡ%,NNE,2ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161102
5,5:00 AM,27ʡF,19ʡF,74ʡ%,NNE,2ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161102
6,6:00 AM,25ʡF,18ʡF,74ʡ%,W,1ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161102
7,7:00 AM,27ʡF,21ʡF,80ʡ%,NW,1ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161102
8,8:00 AM,32ʡF,23ʡF,69ʡ%,SW,1ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161102
9,9:00 AM,37ʡF,18ʡF,45ʡ%,S,2ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161102
10,10:00 AM,41ʡF,14ʡF,33ʡ%,ENE,3ʡmph,0ʡmph,30.32ʡin,0.0ʡin,Fair,20161102
11,11:00 AM,45ʡF,14ʡF,29ʡ%,SW,3ʡmph,0ʡmph,30.32ʡin,0.0ʡin,Fair,20161102
12,12:00 PM,46ʡF,14ʡF,27ʡ%,N,5ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161102
13,1:00 PM,48ʡF,16ʡF,27ʡ%,WSW,2ʡmph,0ʡmph,30.26ʡin,0.0ʡin,Fair,20161102
14,2:00 PM,48ʡF,21ʡF,34ʡ%,WNW,6ʡmph,0ʡmph,30.23ʡin,0.0ʡin,Partly Cloudy,20161102
15,3:00 PM,48ʡF,21ʡF,34ʡ%,WNW,7ʡmph,0ʡmph,30.23ʡin,0.0ʡin,Mostly Cloudy,20161102
16,4:00 PM,45ʡF,25ʡF,46ʡ%,WSW,7ʡmph,0ʡmph,30.23ʡin,0.0ʡin,Light Rain,20161102
17,5:00 PM,43ʡF,30ʡF,61ʡ%,SW,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161102
18,6:00 PM,43ʡF,30ʡF,61ʡ%,SE,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Light Rain,20161102
19,7:00 PM,43ʡF,32ʡF,66ʡ%,S,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Light Rain,20161102
20,8:00 PM,43ʡF,34ʡF,70ʡ%,S,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Light Rain,20161102
21,9:00 PM,41ʡF,32ʡF,70ʡ%,SSE,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161102
22,10:00 PM,43ʡF,34ʡF,70ʡ%,SSE,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161102
23,11:00 PM,43ʡF,36ʡF,76ʡ%,SSE,3ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Light Rain,20161102
24,11:31 PM,43ʡF,37ʡF,81ʡ%,SE,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161102
25,11:45 PM,43ʡF,37ʡF,81ʡ%,SE,3ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Light Drizzle,20161102
0,12:00 AM,43ʡF,37ʡF,81ʡ%,NNE,2ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Rain,20161103
1,12:34 AM,43ʡF,37ʡF,81ʡ%,NE,2ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161103
2,1:00 AM,43ʡF,37ʡF,81ʡ%,N,5ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Cloudy,20161103
3,2:00 AM,43ʡF,36ʡF,76ʡ%,N,3ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Cloudy,20161103
4,3:00 AM,43ʡF,34ʡF,70ʡ%,SSE,3ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Cloudy,20161103
5,4:00 AM,39ʡF,32ʡF,75ʡ%,SSW,1ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Cloudy,20161103
6,5:00 AM,39ʡF,34ʡF,81ʡ%,SW,1ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Partly Cloudy,20161103
7,6:00 AM,41ʡF,36ʡF,81ʡ%,SSE,1ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Partly Cloudy,20161103
8,7:00 AM,41ʡF,36ʡF,81ʡ%,S,2ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Partly Cloudy,20161103
9,8:00 AM,43ʡF,36ʡF,76ʡ%,S,5ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Partly Cloudy,20161103
10,9:00 AM,46ʡF,37ʡF,71ʡ%,SSE,2ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161103
11,10:00 AM,50ʡF,37ʡF,62ʡ%,S,1ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161103
12,11:00 AM,52ʡF,37ʡF,58ʡ%,NE,1ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161103
13,12:00 PM,54ʡF,34ʡF,47ʡ%,W,8ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161103
14,1:00 PM,57ʡF,32ʡF,38ʡ%,WNW,9ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Partly Cloudy,20161103
15,2:00 PM,57ʡF,28ʡF,33ʡ%,W,8ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Partly Cloudy,20161103
16,3:00 PM,57ʡF,28ʡF,33ʡ%,W,10ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair,20161103
17,4:00 PM,55ʡF,28ʡF,36ʡ%,W,10ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair,20161103
18,5:00 PM,54ʡF,30ʡF,41ʡ%,W,7ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair,20161103
19,6:00 PM,52ʡF,32ʡF,47ʡ%,WSW,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair,20161103
20,7:00 PM,54ʡF,32ʡF,44ʡ%,W,6ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair,20161103
21,8:00 PM,54ʡF,34ʡF,47ʡ%,WSW,6ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Partly Cloudy,20161103
22,9:00 PM,55ʡF,37ʡF,51ʡ%,WSW,7ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Partly Cloudy,20161103
23,10:00 PM,52ʡF,37ʡF,58ʡ%,WNW,2ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Partly Cloudy,20161103
24,11:00 PM,50ʡF,36ʡF,58ʡ%,SSE,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy,20161103
0,12:00 AM,50ʡF,37ʡF,62ʡ%,S,6ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy,20161104
1,1:00 AM,48ʡF,36ʡF,62ʡ%,S,6ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy,20161104
2,2:00 AM,46ʡF,36ʡF,66ʡ%,SSE,6ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy,20161104
3,3:00 AM,43ʡF,34ʡF,70ʡ%,SSE,8ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy,20161104
4,4:00 AM,45ʡF,34ʡF,66ʡ%,SSE,6ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy,20161104
5,5:00 AM,48ʡF,36ʡF,62ʡ%,SSE,8ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy,20161104
6,6:00 AM,48ʡF,36ʡF,62ʡ%,SSE,8ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy,20161104
7,7:00 AM,48ʡF,37ʡF,66ʡ%,SSE,6ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy,20161104
8,8:00 AM,50ʡF,37ʡF,62ʡ%,S,8ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy,20161104
9,9:00 AM,54ʡF,37ʡF,54ʡ%,S,10ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,20161104
10,10:00 AM,57ʡF,41ʡF,55ʡ%,SSW,12ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy,20161104
11,11:00 AM,59ʡF,43ʡF,55ʡ%,S,12ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Partly Cloudy,20161104
12,12:00 PM,61ʡF,45ʡF,55ʡ%,SSW,15ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Mostly Cloudy,20161104
13,1:00 PM,61ʡF,45ʡF,55ʡ%,SSW,16ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Mostly Cloudy,20161104
14,2:00 PM,61ʡF,45ʡF,55ʡ%,SSW,13ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,20161104
15,3:00 PM,61ʡF,46ʡF,59ʡ%,SW,13ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,20161104
16,4:00 PM,61ʡF,46ʡF,59ʡ%,SW,14ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,20161104
17,5:00 PM,59ʡF,46ʡF,63ʡ%,SW,9ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Mostly Cloudy,20161104
18,6:00 PM,59ʡF,46ʡF,63ʡ%,SSW,13ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Mostly Cloudy,20161104
19,7:00 PM,59ʡF,46ʡF,63ʡ%,SSW,12ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Mostly Cloudy,20161104
20,8:00 PM,57ʡF,46ʡF,67ʡ%,SSW,8ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,20161104
21,9:00 PM,57ʡF,46ʡF,67ʡ%,SSW,10ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Mostly Cloudy,20161104
22,10:00 PM,57ʡF,46ʡF,67ʡ%,S,8ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Haze,20161104
23,11:00 PM,57ʡF,46ʡF,67ʡ%,S,9ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161104
0,12:00 AM,55ʡF,45ʡF,67ʡ%,S,6ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
1,1:00 AM,55ʡF,45ʡF,67ʡ%,S,6ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
2,2:00 AM,54ʡF,45ʡF,72ʡ%,SSW,6ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
3,3:00 AM,55ʡF,45ʡF,67ʡ%,S,8ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
4,4:00 AM,55ʡF,45ʡF,67ʡ%,S,7ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
5,5:00 AM,55ʡF,45ʡF,67ʡ%,SSW,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
6,6:00 AM,55ʡF,45ʡF,67ʡ%,S,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
7,7:00 AM,55ʡF,46ʡF,72ʡ%,S,8ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
8,8:00 AM,55ʡF,46ʡF,72ʡ%,S,8ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
9,9:00 AM,57ʡF,48ʡF,72ʡ%,SSW,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
10,10:00 AM,61ʡF,50ʡF,68ʡ%,SSW,10ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,20161105
11,10:30 AM,63ʡF,50ʡF,63ʡ%,SSW,12ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
12,11:00 AM,63ʡF,50ʡF,63ʡ%,SW,9ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
13,12:00 PM,64ʡF,52ʡF,64ʡ%,SSW,12ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
14,1:00 PM,66ʡF,52ʡF,60ʡ%,SW,12ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
15,2:00 PM,64ʡF,52ʡF,64ʡ%,SW,13ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
16,3:00 PM,64ʡF,52ʡF,64ʡ%,WSW,12ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
17,4:00 PM,64ʡF,54ʡF,68ʡ%,SW,9ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Haze,20161105
18,5:00 PM,63ʡF,54ʡF,72ʡ%,SW,10ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
19,6:00 PM,63ʡF,52ʡF,68ʡ%,W,6ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Haze,20161105
20,7:00 PM,61ʡF,52ʡF,72ʡ%,WSW,3ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fog,20161105
21,8:00 PM,59ʡF,52ʡF,77ʡ%,S,5ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fog,20161105
22,9:00 PM,59ʡF,52ʡF,77ʡ%,E,1ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog,20161105
23,10:00 PM,59ʡF,54ʡF,82ʡ%,N,2ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog,20161105
24,11:00 PM,57ʡF,52ʡF,82ʡ%,NNW,2ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog,20161105
25,11:25 PM,57ʡF,54ʡF,88ʡ%,ENE,2ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fog,20161105
0,12:00 AM,57ʡF,52ʡF,82ʡ%,SSE,7ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fog,20161106
1,1:00 AM,55ʡF,52ʡF,88ʡ%,SSW,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog,20161106
2,1:00 AM,52ʡF,48ʡF,88ʡ%,SE,2ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog,20161106
3,1:12 AM,54ʡF,50ʡF,88ʡ%,SSE,3ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog,20161106
4,1:58 AM,55ʡF,50ʡF,82ʡ%,S,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog,20161106
5,2:00 AM,55ʡF,52ʡF,88ʡ%,S,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog,20161106
6,2:45 AM,55ʡF,52ʡF,88ʡ%,SSE,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog,20161106
7,3:00 AM,55ʡF,52ʡF,88ʡ%,SSE,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog,20161106
8,3:30 AM,55ʡF,52ʡF,88ʡ%,SE,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fog,20161106
9,4:00 AM,57ʡF,50ʡF,77ʡ%,E,7ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fog,20161106
10,5:00 AM,57ʡF,43ʡF,59ʡ%,E,10ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Mostly Cloudy,20161106
11,6:00 AM,57ʡF,41ʡF,55ʡ%,ESE,10ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,20161106
12,7:00 AM,57ʡF,39ʡF,51ʡ%,ESE,9ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Partly Cloudy,20161106
13,8:00 AM,57ʡF,39ʡF,51ʡ%,E,12ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161106
14,9:00 AM,59ʡF,39ʡF,48ʡ%,ESE,13ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161106
15,10:00 AM,61ʡF,39ʡF,45ʡ%,E,13ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161106
16,11:00 AM,63ʡF,39ʡF,42ʡ%,E,13ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161106
17,12:00 PM,64ʡF,39ʡF,40ʡ%,E,13ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Partly Cloudy,20161106
18,1:00 PM,64ʡF,39ʡF,40ʡ%,E,12ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161106
19,2:00 PM,63ʡF,39ʡF,42ʡ%,E,9ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161106
20,3:00 PM,63ʡF,39ʡF,42ʡ%,ENE,8ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161106
21,4:00 PM,61ʡF,39ʡF,45ʡ%,E,10ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161106
22,6:00 PM,61ʡF,37ʡF,42ʡ%,E,10ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161106
23,7:00 PM,59ʡF,37ʡF,45ʡ%,ESE,10ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161106
24,8:00 PM,59ʡF,39ʡF,48ʡ%,ESE,10ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161106
25,9:00 PM,59ʡF,39ʡF,48ʡ%,ESE,13ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161106
26,10:00 PM,57ʡF,39ʡF,51ʡ%,ESE,14ʡmph,0ʡmph,30.23ʡin,0.0ʡin,Mostly Cloudy,20161106
27,11:00 PM,57ʡF,39ʡF,51ʡ%,SE,12ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161106
0,12:00 AM,57ʡF,41ʡF,55ʡ%,SE,13ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
1,1:00 AM,57ʡF,41ʡF,55ʡ%,ESE,9ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
2,2:00 AM,55ʡF,41ʡF,58ʡ%,ESE,9ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
3,3:00 AM,55ʡF,41ʡF,58ʡ%,SE,9ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
4,4:00 AM,55ʡF,41ʡF,58ʡ%,SE,10ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
5,5:00 AM,55ʡF,41ʡF,58ʡ%,SE,8ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
6,6:00 AM,55ʡF,41ʡF,58ʡ%,SE,10ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
7,7:00 AM,55ʡF,41ʡF,58ʡ%,SE,8ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
8,8:00 AM,55ʡF,41ʡF,58ʡ%,SSE,5ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
9,9:00 AM,57ʡF,41ʡF,55ʡ%,SSE,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
10,10:00 AM,59ʡF,41ʡF,51ʡ%,S,7ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy,20161107
11,11:00 AM,61ʡF,43ʡF,52ʡ%,SSE,8ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161107
12,12:00 PM,64ʡF,43ʡF,45ʡ%,SSW,8ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161107
13,1:00 PM,63ʡF,43ʡF,48ʡ%,SSW,9ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,20161107
14,2:00 PM,63ʡF,43ʡF,48ʡ%,WSW,9ʡmph,26ʡmph,30.09ʡin,0.0ʡin,Mostly Cloudy,20161107
15,3:00 PM,61ʡF,45ʡF,55ʡ%,SW,9ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Mostly Cloudy,20161107
16,4:00 PM,61ʡF,46ʡF,59ʡ%,WSW,8ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Cloudy,20161107
17,5:00 PM,59ʡF,48ʡF,67ʡ%,WSW,12ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Light Rain,20161107
18,5:08 PM,59ʡF,50ʡF,72ʡ%,W,8ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Light Rain,20161107
19,6:00 PM,55ʡF,48ʡF,77ʡ%,W,6ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Light Rain,20161107
20,7:00 PM,54ʡF,46ʡF,77ʡ%,W,7ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Light Rain,20161107
21,8:00 PM,50ʡF,46ʡF,87ʡ%,WNW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Light Rain,20161107
22,8:34 PM,52ʡF,46ʡF,82ʡ%,W,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Light Rain,20161107
23,9:00 PM,52ʡF,46ʡF,82ʡ%,WNW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Light Rain,20161107
24,10:00 PM,52ʡF,45ʡF,76ʡ%,WNW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Light Rain,20161107
25,11:00 PM,48ʡF,41ʡF,76ʡ%,W,10ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Light Rain,20161107
0,12:00 AM,30ʡF,10ʡF,44ʡ%,NNW,9ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161109
1,1:00 AM,30ʡF,12ʡF,47ʡ%,NNW,8ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161109
2,2:00 AM,28ʡF,12ʡF,51ʡ%,NNW,9ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
3,3:00 AM,28ʡF,12ʡF,51ʡ%,NW,8ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
4,4:00 AM,27ʡF,12ʡF,55ʡ%,NNW,6ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
5,5:00 AM,27ʡF,12ʡF,55ʡ%,NNW,6ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
6,6:00 AM,27ʡF,14ʡF,59ʡ%,N,3ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
7,7:00 AM,27ʡF,12ʡF,55ʡ%,N,6ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
8,8:00 AM,28ʡF,14ʡF,55ʡ%,NW,6ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161109
9,9:00 AM,32ʡF,12ʡF,44ʡ%,N,8ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161109
10,10:00 AM,34ʡF,10ʡF,38ʡ%,N,6ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161109
11,11:00 AM,37ʡF,12ʡF,36ʡ%,WNW,7ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161109
12,12:00 PM,39ʡF,10ʡF,31ʡ%,NNW,5ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161109
13,1:00 PM,41ʡF,9ʡF,26ʡ%,N,5ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161109
14,2:00 PM,43ʡF,9ʡF,25ʡ%,W,7ʡmph,0ʡmph,30.32ʡin,0.0ʡin,Fair,20161109
15,3:00 PM,43ʡF,9ʡF,25ʡ%,NW,6ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
16,4:00 PM,45ʡF,7ʡF,21ʡ%,NNW,6ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
17,5:00 PM,41ʡF,10ʡF,29ʡ%,NNW,7ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
18,6:00 PM,37ʡF,12ʡF,36ʡ%,NNW,6ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
19,7:00 PM,37ʡF,18ʡF,45ʡ%,WSW,2ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
20,8:00 PM,36ʡF,18ʡF,48ʡ%,NNW,3ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
21,9:00 PM,34ʡF,16ʡF,48ʡ%,NW,3ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
22,10:00 PM,34ʡF,19ʡF,56ʡ%,NW,5ʡmph,0ʡmph,30.29ʡin,0.0ʡin,Fair,20161109
23,11:00 PM,34ʡF,18ʡF,52ʡ%,NNW,5ʡmph,0ʡmph,30.32ʡin,0.0ʡin,Fair,20161109
0,5:00 AM,32ʡF,19ʡF,60ʡ%,NNW,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Fair,20161110
1,6:00 AM,34ʡF,19ʡF,56ʡ%,NW,3ʡmph,0ʡmph,30.20ʡin,0.0ʡin,Fair,20161110
2,7:00 AM,32ʡF,21ʡF,64ʡ%,NNW,3ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Fair,20161110
3,8:00 AM,36ʡF,23ʡF,60ʡ%,N,3ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161110
4,9:00 AM,37ʡF,23ʡF,56ʡ%,NNE,3ʡmph,0ʡmph,30.17ʡin,0.0ʡin,Mostly Cloudy,20161110
5,10:00 AM,45ʡF,21ʡF,39ʡ%,N,3ʡmph,0ʡmph,30.14ʡin,0.0ʡin,Mostly Cloudy,20161110
6,11:00 AM,46ʡF,19ʡF,34ʡ%,ESE,5ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,20161110
7,12:00 PM,48ʡF,21ʡF,34ʡ%,E,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Mostly Cloudy,20161110
8,1:00 PM,48ʡF,21ʡF,34ʡ%,E,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Cloudy,20161110
9,2:00 PM,50ʡF,25ʡF,37ʡ%,ESE,5ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Cloudy,20161110
10,3:00 PM,50ʡF,25ʡF,37ʡ%,W,2ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Cloudy,20161110
11,4:00 PM,50ʡF,30ʡF,47ʡ%,S,8ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Light Rain,20161110
12,5:00 PM,48ʡF,25ʡF,40ʡ%,NW,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy,20161110
13,6:00 PM,48ʡF,32ʡF,54ʡ%,ESE,6ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy,20161110
14,7:00 PM,48ʡF,34ʡF,57ʡ%,SSE,10ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy,20161110
